TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-012,인벤토리_슬롯 최소 미만값(0칸) 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 인벤토리_슬롯 에 '0칸' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-013,인벤토리_슬롯 최소값(1칸) 입력 시 정상 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 인벤토리_슬롯 에 '1칸' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-014,인벤토리_슬롯 최대값(100칸) 입력 시 정상 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 인벤토리_슬롯 에 '100칸' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-015,인벤토리_슬롯 최대 초과값(101칸) 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 인벤토리_슬롯 에 '101칸' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-016,아이템_수량 최소 미만값(0개) 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_수량 에 '0개' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-017,아이템_수량 최소값(1개) 입력 시 정상 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_수량 에 '1개' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-018,아이템_수량 최대값(99개) 입력 시 정상 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_수량 에 '99개' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-019,아이템_수량 최대 초과값(100개) 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_수량 에 '100개' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-020,정상 아이템_종류 + 정상 수량 조합 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 + 수량 에 '아이템_종류=유효, 수량=유효' 입력 후 동작 수행",아이템이 인벤토리에 추가됨,,,High,High,PC,자동생성,2026-06-20
TC-021,정상 아이템_종류 + 비정상 수량 조합 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 + 수량 에 '아이템_종류=유효, 수량=무효' 입력 후 동작 수행",수량 오류 메시지 표시,,,Medium,Medium,PC,자동생성,2026-06-20
TC-022,비정상 아이템_종류 + 정상 수량 조합 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 + 수량 에 '아이템_종류=무효, 수량=유효' 입력 후 동작 수행",존재하지 않는 아이템 메시지,,,High,High,PC,자동생성,2026-06-20
