TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-011,구매_수량에 비정상값 '1000' 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '1000' 입력 후 동작 수행",구매_수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-012,보유_골드 최소 미만값(0골드) 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '0골드' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-013,보유_골드 최소값(1골드) 입력 시 정상 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '1골드' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-014,보유_골드 최대값(9999999골드) 입력 시 정상 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '9999999골드' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-015,보유_골드 최대 초과값(10000000골드) 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '10000000골드' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-016,구매_수량 최소 미만값(0개) 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '0개' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-017,구매_수량 최소값(1개) 입력 시 정상 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '1개' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-018,구매_수량 최대값(99개) 입력 시 정상 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '99개' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-019,구매_수량 최대 초과값(100개) 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '100개' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-020,정상 보유_골드 + 정상 구매_수량 조합 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 + 구매_수량 에 '보유_골드=유효, 구매_수량=유효' 입력 후 동작 수행","구매 성공, 골드 차감, 인벤토리 추가",,,Critical,High,PC,자동생성,2026-06-20
TC-021,비정상 보유_골드 + 정상 구매_수량 조합 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 + 구매_수량 에 '보유_골드=무효, 구매_수량=유효' 입력 후 동작 수행",골드 부족 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-022,정상 보유_골드 + 비정상 구매_수량 조합 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 + 구매_수량 에 '보유_골드=유효, 구매_수량=무효' 입력 후 동작 수행",수량 오류 메시지 표시,,,Medium,Medium,PC,자동생성,2026-06-20
